id,date_used,station,unloaded,before_6,time_6_7,time_7_8,time_8_9,time_9_10,time_10_11,time_11_12,time_12_13,time_13_14,time_14_15,time_15_16,time_16_17,time_17_18,time_18_19,time_19_20,time_20_21,time_21_22,time_22_23,time_23_24,after_24,total
1,20230901,명동,하차,42,2,40,798,2388,5863,3594,1933,1876,2406,2083,1975,2184,2019,2457,2383,1959,1361,1162,752,37277
2,20230902,명동,하차,33,2,31,463,661,1219,1826,1834,2669,2865,2999,3030,2637,2979,2984,2400,1924,1595,1269,842,34262
3,20230903,명동,하차,26,2,24,354,523,836,1368,1885,2013,2378,2650,2346,2337,2206,1988,1698,1559,1145,940,719,26997
4,20230904,명동,하차,47,1,46,798,2460,5626,4069,2108,1828,2189,2111,1783,1991,2104,2279,2011,1536,1220,861,634,35702
5,20230905,명동,하차,33,1,32,842,2289,5981,3932,2128,1850,2340,2115,1922,2072,2097,2190,2375,1779,1200,1009,751,36938
6,20230906,명동,하차,35,1,34,808,2461,5690,3974,2175,1866,2133,2091,1927,2027,2168,2210,2229,1717,1219,1097,654,36516
7,20230907,명동,하차,37,3,34,810,2305,5799,3822,2083,1916,2189,1958,1824,2057,2187,2210,2257,1740,1390,1043,693,36357
8,20230908,명동,하차,46,2,44,756,2394,5608,3747,2510,1970,2272,2184,2059,2284,2414,2574,2608,1884,1536,1044,803,38739
9,20230909,명동,하차,34,0,34,471,708,1202,1914,2090,2805,2875,3308,3253,2576,2986,3061,2424,2090,1557,1174,793,35355
10,20230910,명동,하차,34,3,31,397,541,919,1568,2073,2316,2503,2933,2575,2475,2216,2117,1922,1463,1301,1039,670,29096
11,20230911,명동,하차,48,3,45,848,2287,5729,4053,2097,1846,2017,2104,1589,1976,1980,2253,2177,1671,1126,938,563,35350
12,20230912,명동,하차,40,1,39,865,2517,5449,4174,2241,1865,2047,2216,1822,2027,2020,2300,1967,1586,1278,916,655,36025
13,20230913,명동,하차,33,3,30,820,2324,5747,3826,2342,1997,2174,1989,1773,1933,2059,2151,2293,1673,1124,849,567,35707
14,20230914,명동,하차,39,2,37,804,2415,5719,3884,2137,2018,2119,1991,1966,2142,2037,2492,2290,1758,1335,1074,717,36976
15,20230915,명동,하차,24,1,23,760,2109,5423,3518,2229,1864,2190,2077,1993,1945,2241,2438,2467,1863,1452,1136,850,36603
16,20230916,명동,하차,25,2,23,417,618,1119,1816,2110,2825,3200,3025,2905,2788,2824,3098,2374,1888,1466,1225,951,34699
17,20230917,명동,하차,49,2,47,358,522,964,1448,2267,2491,2601,2793,2648,2413,2430,2157,2089,1719,1520,1176,852,30546
18,20230918,명동,하차,31,1,30,856,2395,5603,4248,2395,2038,2143,2184,1928,2135,2037,2377,2202,1744,1341,1062,584,37334
19,20230919,명동,하차,41,3,38,855,2476,5734,3950,2280,1957,2194,2278,1877,2033,2113,2342,2128,1791,1220,838,662,36810
20,20230920,명동,하차,45,2,43,787,2282,5929,3971,2225,1989,2049,2008,1841,2017,2065,1974,2079,1638,1134,861,577,35516
21,20230921,명동,하차,29,0,29,786,2448,5853,4067,2286,1984,2321,2054,1877,2172,2180,2356,2154,1750,1308,1018,640,37312
22,20230922,명동,하차,68,3,65,820,2319,5614,3554,2234,1989,2298,2240,2144,2228,2378,2453,2653,1958,1404,1040,741,38203
23,20230923,명동,하차,33,0,33,441,743,1179,1814,2191,2520,3027,3271,3021,2961,3027,3034,2463,1939,1563,1068,783,35111
24,20230924,명동,하차,38,1,37,333,519,1002,1660,2074,2382,2702,2921,2448,2384,2085,1987,1791,1405,1017,834,469,28089
25,20230925,명동,하차,40,1,39,770,2454,5630,4249,2196,1931,1970,1814,1730,1509,1758,1840,1866,1112,881,666,495,32951
26,20230926,명동,하차,47,2,45,716,2287,5722,3825,2054,1423,1731,1819,1455,1858,1843,1673,1757,1126,753,546,350,31032
27,20230927,명동,하차,29,2,27,713,2170,5436,3521,1854,1682,1822,1845,1677,1673,1971,1918,1874,1350,1027,668,494,31753
28,20230928,명동,하차,29,2,27,254,378,576,993,1261,1603,2080,2150,2206,2257,2522,2475,2386,2031,1447,981,631,26289
29,20230929,명동,하차,24,0,24,186,361,471,799,1265,1676,2367,2572,2935,2951,3256,3112,3061,2518,1871,1212,741,31402
30,20230930,명동,하차,29,2,27,323,441,643,1244,1768,2761,3223,2990,2935,3086,2927,2793,2680,2199,1618,1022,690,33401
